,state,x,y
0,Arkansas,57,-53
1,California,-297,13
2,Colorado,-112,20
3,Connecticut,297,96
4,Delaware,275,42
5,Florida,220,-145
6,Georgia,182,-75
7,Idaho,-216,122
8,Illinois,95,37
9,Indiana,133,39
10,Iowa,38,65
11,Kansas,-17,5
12,Kentucky,149,1
13,Louisiana,59,-114
14,Maine,319,164
15,Maryland,288,27
16,Massachusetts,312,112
17,Michigan,148,101
18,Minnesota,23,135
19,Mississippi,94,-78
20,Missouri,49,6
21,Montana,-141,60
22,Nebraska,-61,66
23,Nevada,-257,56
24,New Hampshire,302,127
25,New Jersey,282,65
26,New Mexico,-128,-43
27,New York,236,104
28,North Carolina,239,-22
29,North Dakota,-44,158
30,Ohio,176,52
31,Oklahoma,-8,-41
32,Oregon,-278,138
33,Pennsylvania,238,72
34,Rhode Island,318,94
35,South Carolina,218,-51
36,South Dakota,-44,109
37,Tennessee,131,-34
38,Texas,-38,-106
39,Utah,-189,34
40,Vermont,282,154
41,Virginia,234,12
42,Washington,-257,193
43,West Virginia,200,20
44,Wisconsin,83,113
45,Wyoming,-134,90
